timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1776810960000,75379.79000000,75428.00000000,75379.79000000,75428.00000000,4.46562000,1776811019999,336730.19134820,1533,3.59904000,271382.63397200,0
1776811020000,75428.00000000,75434.88000000,75382.38000000,75414.00000000,43.12645000,1776811079999,3252112.69867660,1463,1.30807000,98641.96361250,0
1776811080000,75413.99000000,75431.70000000,75412.00000000,75431.69000000,2.98352000,1776811139999,225028.52866160,977,1.57383000,118700.60534400,0
1776811140000,75431.69000000,75431.70000000,75386.83000000,75386.83000000,2.32008000,1776811199999,174963.09831180,1969,0.78990000,59567.26392000,0
1776811200000,75386.83000000,75413.36000000,75379.80000000,75413.35000000,1.81520000,1776811259999,136845.79549240,1730,1.21396000,91520.57362370,0
1776811260000,75413.36000000,75413.36000000,75383.85000000,75383.86000000,1.59544000,1776811319999,120303.42041300,1271,0.35810000,27004.21510290,0
1776811320000,75383.85000000,75420.81000000,75382.99000000,75420.81000000,2.10793000,1776811379999,158957.67113930,1327,1.56130000,117734.16806340,0
1776811380000,75420.80000000,75540.85000000,75420.80000000,75533.00000000,7.69745000,1776811439999,580929.52516970,3096,7.01815000,529664.87067400,0
1776811440000,75533.00000000,75538.37000000,75527.96000000,75527.96000000,2.97114000,1776811499999,224431.60605930,717,1.42513000,107649.44103940,0
1776811500000,75527.43000000,75529.06000000,75516.00000000,75521.14000000,1.59433000,1776811559999,120407.74830610,1144,0.57560000,43469.45107010,0
1776811560000,75521.15000000,75526.21000000,75521.14000000,75526.21000000,1.30032000,1776811619999,98202.53863720,302,1.16319000,87846.00066660,0
1776811620000,75526.21000000,75526.21000000,75526.20000000,75526.20000000,1.37299000,1776811679999,103696.72654080,135,0.92028000,69505.26053880,0
1776811680000,75526.21000000,75550.00000000,75524.61000000,75524.62000000,2.61403000,1776811739999,197465.80955040,1313,1.27587000,96376.52820820,0
1776811740000,75524.62000000,75542.82000000,75489.63000000,75489.64000000,6.01805000,1776811799999,454532.06869040,1894,2.67683000,202178.16372840,0
1776811800000,75489.63000000,75518.19000000,75489.63000000,75518.19000000,1.14653000,1776811859999,86569.11334030,1227,0.93271000,70424.22431040,0
1776811860000,75518.18000000,75543.10000000,75518.18000000,75543.09000000,2.53795000,1776811919999,191708.06514490,702,1.64967000,124606.94175160,0
1776811920000,75543.10000000,75543.10000000,75526.10000000,75526.10000000,2.64005000,1776811979999,199427.90472670,636,0.55338000,41802.56845950,0
1776811980000,75526.00000000,75552.56000000,75522.22000000,75546.32000000,1.46027000,1776812039999,110312.07923000,1356,0.68326000,51612.66976010,0
1776812040000,75546.33000000,75576.36000000,75546.33000000,75574.41000000,3.50443000,1776812099999,264831.39931350,904,1.26733000,95767.30792930,0
1776812100000,75574.41000000,75609.12000000,75574.41000000,75601.55000000,7.14212000,1776812159999,539969.51438680,1292,3.11428000,235429.79033380,0
1776812160000,75601.54000000,75607.51000000,75587.00000000,75607.50000000,2.62576000,1776812219999,198487.90229110,1302,2.04894000,154883.82085130,0
1776812220000,75607.51000000,75621.28000000,75598.93000000,75598.93000000,6.35841000,1776812279999,480757.65432650,1282,4.24289000,320799.75122250,0
1776812280000,75598.93000000,75623.62000000,75593.55000000,75623.62000000,2.68742000,1776812339999,203189.79344940,1197,2.39612000,181163.43751600,0
1776812340000,75623.61000000,75650.04000000,75623.61000000,75650.04000000,5.44236000,1776812399999,411674.53763870,1402,4.63315000,350465.38700660,0
1776812400000,75650.03000000,75657.27000000,75622.00000000,75657.26000000,12.63588000,1776812459999,955750.91540800,1380,6.13141000,463753.07862030,0
1776812460000,75657.26000000,75750.00000000,75657.26000000,75736.18000000,11.51995000,1776812519999,872194.01042730,3815,6.24166000,472468.29206770,0
1776812520000,75736.18000000,75776.27000000,75726.90000000,75754.01000000,9.54322000,1776812579999,722856.95533980,2715,8.82886000,668743.86933990,0
1776812580000,75754.00000000,75796.70000000,75745.13000000,75748.64000000,5.83047000,1776812639999,441764.89176280,2948,4.05044000,306867.98061330,0
1776812640000,75748.64000000,75779.08000000,75748.64000000,75757.37000000,1.91790000,1776812699999,145303.47157270,1485,0.84330000,63886.84980960,0
1776812700000,75757.36000000,75846.23000000,75757.36000000,75824.14000000,13.74277000,1776812759999,1041892.96812090,4089,7.98431000,605284.60331860,0
1776812760000,75824.14000000,75850.00000000,75824.07000000,75824.08000000,4.37243000,1776812819999,331570.76175630,1545,1.58047000,119845.70888290,0
1776812820000,75824.08000000,75824.65000000,75804.61000000,75824.65000000,3.26543000,1776812879999,247563.89835840,1961,1.17186000,88844.40608730,0
1776812880000,75824.64000000,75857.82000000,75812.03000000,75857.82000000,4.89394000,1776812939999,371120.89054300,1720,3.36451000,255156.28665540,0
1776812940000,75857.82000000,75857.82000000,75842.83000000,75850.99000000,7.70899000,1776812999999,584700.64950520,988,6.48548000,491896.89928490,0
1776813000000,75850.98000000,75850.98000000,75794.80000000,75794.80000000,3.91029000,1776813059999,296445.88322880,2563,1.23135000,93340.69946570,0
1776813060000,75794.81000000,75803.86000000,75784.30000000,75784.31000000,1.90134000,1776813119999,144110.69387840,1169,0.82664000,62656.32387850,0
1776813120000,75784.31000000,75791.89000000,75757.64000000,75757.64000000,3.33197000,1776813179999,252490.83038780,1187,1.45820000,110509.89877860,0
1776813180000,75757.65000000,75757.65000000,75726.90000000,75749.99000000,3.49961000,1776813239999,265063.36162940,1329,1.43862000,108960.31306210,0
1776813240000,75750.00000000,75775.05000000,75749.99000000,75775.05000000,1.54717000,1776813299999,117222.85556280,866,1.36339000,103299.48369050,0
1776813300000,75775.05000000,75783.40000000,75754.74000000,75778.57000000,1.38284000,1776813359999,104781.70967320,1793,0.86736000,65722.04903750,0
1776813360000,75778.56000000,75800.00000000,75778.56000000,75798.94000000,1.16297000,1776813419999,88146.24311590,1427,0.83212000,63069.97640750,0
1776813420000,75798.93000000,75823.75000000,75798.93000000,75808.61000000,1.73980000,1776813479999,131908.77714150,1200,1.01512000,76963.16327820,0
1776813480000,75808.61000000,75815.26000000,75790.60000000,75808.57000000,2.10153000,1776813539999,159305.60102400,1260,0.58045000,43997.38057010,0
1776813540000,75808.57000000,75868.91000000,75808.57000000,75835.06000000,4.57807000,1776813599999,347197.02997150,2511,3.55144000,269330.35353220,0
1776813600000,75835.05000000,75838.05000000,75817.14000000,75817.91000000,3.91914000,1776813659999,297173.22352120,1111,2.36708000,179483.43849050,0
1776813660000,75817.90000000,75847.17000000,75814.27000000,75814.27000000,3.37258000,1776813719999,255746.81863210,2136,2.13380000,161808.41920760,0
1776813720000,75814.27000000,75831.33000000,75795.54000000,75802.73000000,9.25458000,1776813779999,701518.50672350,1367,0.42892000,32519.35748810,0
1776813780000,75802.74000000,75802.74000000,75782.00000000,75795.01000000,6.47612000,1776813839999,490857.72970040,1345,0.43640000,33074.78874450,0
1776813840000,75795.01000000,75828.35000000,75795.00000000,75824.14000000,0.88343000,1776813899999,66974.37976760,1288,0.44151000,33471.88298760,0
1776813900000,75824.15000000,75824.15000000,75785.22000000,75785.22000000,5.14874000,1776813959999,390235.26270670,1314,1.24369000,94264.11553980,0
1776813960000,75785.22000000,75785.22000000,75764.08000000,75767.16000000,2.55181000,1776814019999,193365.20027380,1388,0.31821000,24111.72126700,0
1776814020000,75767.16000000,75776.58000000,75760.00000000,75776.58000000,1.42107000,1776814079999,107673.87737940,962,1.11285000,84322.05913700,0
1776814080000,75776.58000000,75790.60000000,75775.51000000,75783.00000000,4.69734000,1776814139999,355976.74224020,1261,1.95088000,147842.92255590,0
1776814140000,75783.00000000,75789.66000000,75775.80000000,75787.26000000,0.77113000,1776814199999,58437.80739810,936,0.36878000,27946.43584990,0
1776814200000,75787.25000000,75823.28000000,75787.25000000,75790.61000000,16.95170000,1776814259999,1284866.40311250,2303,14.55911000,1103481.79706130,0
1776814260000,75790.60000000,75794.50000000,75780.96000000,75794.50000000,0.81097000,1776814319999,61460.60780020,881,0.28902000,21904.32293120,0
1776814320000,75794.50000000,75832.00000000,75794.50000000,75815.27000000,3.40927000,1776814379999,258479.44208530,1861,2.60106000,197196.87553340,0
1776814380000,75815.26000000,75836.08000000,75815.26000000,75822.01000000,1.41815000,1776814439999,107531.50323700,1254,1.04288000,79075.48620890,0
1776814440000,75822.00000000,75836.00000000,75822.00000000,75835.99000000,2.42596000,1776814499999,183950.78037670,1417,2.16291000,164004.01395570,0
1776814500000,75836.00000000,75850.00000000,75835.99000000,75840.42000000,2.27315000,1776814559999,172400.90816320,1271,1.19396000,90548.28420200,0
1776814560000,75840.43000000,75870.80000000,75840.42000000,75870.80000000,3.45902000,1776814619999,262370.10882260,1369,2.56654000,194673.00062420,0
1776814620000,75870.79000000,75880.00000000,75858.83000000,75879.99000000,2.78853000,1776814679999,211560.52553480,1331,1.95905000,148629.97495520,0
1776814680000,75879.99000000,75879.99000000,75865.58000000,75876.21000000,2.21535000,1776814739999,168084.09193440,1283,1.45057000,110054.91320130,0
1776814740000,75876.20000000,75974.23000000,75876.20000000,75974.23000000,12.22459000,1776814799999,928262.78647950,3679,10.04775000,762944.99360620,0
1776814800000,75974.22000000,75993.25000000,75951.88000000,75951.89000000,3.61105000,1776814859999,274325.36199650,2400,2.24781000,170757.30385220,0
1776814860000,75951.89000000,75972.01000000,75940.18000000,75940.18000000,9.19251000,1776814919999,698334.64707930,2058,3.33917000,253656.48370140,0
1776814920000,75940.18000000,76111.88000000,75931.45000000,76024.72000000,45.85171000,1776814979999,3486633.68467740,7631,37.77950000,2872568.14702070,0
1776814980000,76024.72000000,76069.96000000,76008.63000000,76069.95000000,8.84625000,1776815039999,672631.20672710,2382,4.55318000,346194.46056210,0
1776815040000,76069.95000000,76089.01000000,76069.95000000,76083.62000000,2.87319000,1776815099999,218591.98074220,1309,1.45679000,110824.51291980,0
1776815100000,76083.62000000,76256.08000000,76077.55000000,76242.63000000,50.96670000,1776815159999,3883399.31007850,9550,40.16670000,3060215.98478310,0
1776815160000,76242.64000000,76393.43000000,76242.63000000,76326.79000000,40.35481000,1776815219999,3079890.78551690,8894,25.16338000,1920399.10949460,0
1776815220000,76326.78000000,76384.00000000,76321.57000000,76384.00000000,11.28572000,1776815279999,861681.42457600,4456,8.12870000,620641.24419480,0
1776815280000,76383.99000000,76406.91000000,76326.26000000,76379.99000000,27.05189000,1776815339999,2066295.09091330,3747,23.13661000,1767300.53234970,0
1776815340000,76380.00000000,76380.00000000,76306.09000000,76360.51000000,18.68010000,1776815399999,1425935.36506890,2875,7.52324000,574257.04244350,0
1776815400000,76360.51000000,76365.89000000,76332.76000000,76343.46000000,6.39869000,1776815459999,488529.13421900,2015,3.92935000,299986.46035810,0
1776815460000,76343.45000000,76396.53000000,76303.27000000,76396.53000000,18.28902000,1776815519999,1396293.29693270,2769,12.71537000,970879.86798210,0
1776815520000,76396.53000000,76425.37000000,76330.61000000,76330.61000000,13.73509000,1776815579999,1049038.29058670,3367,4.19184000,320235.73762340,0
1776815580000,76330.61000000,76330.62000000,76306.14000000,76306.14000000,3.06636000,1776815639999,234025.63560030,1070,1.28968000,98426.99229720,0
1776815640000,76306.15000000,76341.37000000,76300.00000000,76341.37000000,7.56001000,1776815699999,576948.95833350,2021,6.72555000,513272.40562810,0
1776815700000,76341.36000000,76341.98000000,76314.26000000,76341.98000000,5.32970000,1776815759999,406793.70775330,1442,3.69167000,281768.26093110,0
1776815760000,76341.97000000,76341.98000000,76327.06000000,76327.84000000,8.31208000,1776815819999,634508.08896330,1197,4.99369000,381188.62480350,0
1776815820000,76327.85000000,76338.55000000,76322.43000000,76338.55000000,2.53639000,1776815879999,193588.53881130,809,1.67197000,127611.56207310,0
1776815880000,76338.54000000,76349.19000000,76325.02000000,76349.18000000,2.33176000,1776815939999,178003.08286340,1165,1.33222000,101700.31895420,0
1776815940000,76349.18000000,76349.19000000,76320.70000000,76336.15000000,3.79874000,1776815999999,289957.52050320,1326,2.58486000,197301.54104150,0
1776816000000,76336.14000000,76367.15000000,76328.24000000,76338.35000000,22.50619000,1776816059999,1718260.40307090,3015,20.59212000,1572123.72044540,0
1776816060000,76338.35000000,76360.00000000,76324.00000000,76347.38000000,15.52549000,1776816119999,1185304.44643800,2761,5.14551000,392812.34031900,0
1776816120000,76347.37000000,76390.90000000,76324.00000000,76327.03000000,6.13080000,1776816179999,468177.69381180,3453,5.02612000,383825.79078570,0
1776816180000,76327.04000000,76414.13000000,76326.89000000,76414.13000000,13.24158000,1776816239999,1011370.38536830,3091,11.50073000,878416.57322550,0
1776816240000,76414.12000000,76414.13000000,76311.99000000,76311.99000000,48.99183000,1776816299999,3739715.28506550,2666,9.93474000,758247.10258930,0
1776816300000,76312.00000000,76401.10000000,76311.99000000,76374.13000000,61.94225000,1776816359999,4730440.33046380,4756,46.24027000,3531206.61391650,0
1776816360000,76374.12000000,76444.00000000,76364.80000000,76443.99000000,9.37958000,1776816419999,716678.56618090,3175,8.73377000,667341.80593910,0
1776816420000,76443.99000000,76443.99000000,76372.00000000,76399.99000000,5.39065000,1776816479999,411785.79728490,2976,3.02953000,231413.58055360,0
1776816480000,76400.00000000,76453.92000000,76399.99000000,76453.92000000,7.71813000,1776816539999,589920.13739500,2426,6.21782000,475253.68700750,0
1776816540000,76453.91000000,76500.00000000,76450.00000000,76450.00000000,14.39182000,1776816599999,1100802.56382030,4251,7.54857000,577389.07378460,0
1776816600000,76450.01000000,76450.01000000,76319.31000000,76322.97000000,13.02115000,1776816659999,994206.11223170,3998,3.81291000,291057.46944060,0
1776816660000,76322.96000000,76380.00000000,76322.96000000,76380.00000000,8.24867000,1776816719999,629733.04508780,3537,5.62927000,429746.82645990,0
1776816720000,76379.99000000,76387.76000000,76346.31000000,76384.69000000,3.76717000,1776816779999,287695.76550670,2210,2.05346000,156823.24745770,0
1776816780000,76384.70000000,76396.94000000,76362.57000000,76396.94000000,8.99444000,1776816839999,687014.78186750,2230,8.05981000,615617.83074510,0
1776816840000,76396.94000000,76426.27000000,76396.93000000,76417.85000000,4.98759000,1776816899999,381117.43835580,2438,3.33695000,254975.06553070,0
1776816900000,76417.85000000,76417.85000000,76370.70000000,76398.48000000,10.07627000,1776816959999,769856.77425520,3115,4.73580000,361815.86636830,0
1776816960000,76398.49000000,76398.49000000,76278.53000000,76278.53000000,7.34790000,1776817019999,560832.59669280,2567,0.76085000,58091.44989020,0
1776817020000,76278.53000000,76353.13000000,76278.53000000,76335.24000000,9.14817000,1776817079999,698185.39501010,3209,4.91363000,375019.72336230,0
1776817080000,76335.24000000,76410.00000000,76335.24000000,76399.54000000,13.36008000,1776817139999,1020095.35319780,3079,10.35041000,790268.96862860,0
1776817140000,76399.55000000,76399.55000000,76368.73000000,76368.74000000,1.97416000,1776817199999,150798.81597790,1494,1.46160000,111647.01728090,0
1776817200000,76368.73000000,76429.40000000,76353.31000000,76429.40000000,6.53126000,1776817259999,498812.14640320,2540,2.72073000,207818.52261670,0
1776817260000,76429.40000000,76439.29000000,76388.00000000,76415.29000000,2.97929000,1776817319999,227677.59327080,2663,1.72597000,131891.33497030,0
1776817320000,76415.40000000,76423.27000000,76361.25000000,76361.25000000,3.17143000,1776817379999,242294.12779760,1991,2.05310000,156850.61007240,0
1776817380000,76361.25000000,76361.25000000,76350.10000000,76351.00000000,1.36738000,1776817439999,104401.37325750,472,0.55228000,42166.88756580,0
1776817440000,76351.00000000,76351.00000000,76287.31000000,76287.32000000,10.53829000,1776817499999,804372.31183630,2276,4.11083000,313755.97500450,0
1776817500000,76287.32000000,76287.32000000,76242.80000000,76259.62000000,16.34030000,1776817559999,1246069.67329390,2140,2.08460000,158978.68135930,0
1776817560000,76259.63000000,76312.52000000,76259.62000000,76312.52000000,4.57510000,1776817619999,348990.41326090,2139,3.30089000,251786.82028590,0
1776817620000,76312.53000000,76325.43000000,76303.85000000,76303.86000000,2.69699000,1776817679999,205827.49769380,1078,2.25827000,172343.98166170,0
